1,2,9,10,,,,,
2,1,3,10,11,,,,
3,2,4,10,11,12,,,
4,3,5,11,12,13,,,
5,4,6,12,13,14,,,
6,5,7,13,14,15,,,
7,6,8,14,15,,,,
8,7,15,16,,,,,
9,1,10,17,18,,,,
10,1,2,3,9,11,17,18,19
11,2,3,4,10,12,18,19,20
12,3,4,5,11,13,19,20,21
13,4,5,6,12,14,20,21,22
14,5,6,7,13,15,21,22,23
15,6,7,8,14,16,22,23,24
16,8,15,23,24,,,,
17,9,10,18,25,26,,,
18,9,10,11,17,19,25,26,27
19,10,11,12,18,20,26,27,28
20,11,12,13,19,21,27,28,29
21,12,13,14,20,22,28,29,30
22,13,14,15,21,23,29,30,31
23,14,15,16,22,24,30,31,32
24,15,16,23,31,32,,,
25,17,18,26,33,34,,,
26,17,18,19,25,27,33,34,35
27,18,19,20,26,28,34,35,36
28,19,20,21,27,29,35,36,37
29,20,21,22,28,30,36,37,38
30,21,22,23,29,31,37,38,39
31,22,23,24,30,32,38,39,40
32,23,24,31,39,40,,,
33,25,26,34,41,42,,,
34,25,26,27,33,35,41,42,43
35,26,27,28,34,36,42,43,44
36,27,28,29,35,37,43,44,45
37,28,29,30,36,38,44,45,46
38,29,30,31,37,39,45,46,47
39,30,31,32,38,40,46,47,48
40,31,32,39,47,48,,,
41,33,34,42,49,50,,,
42,33,34,35,41,43,49,50,51
43,34,35,36,42,44,50,51,52
44,35,36,37,43,45,51,52,53
45,36,37,38,44,46,52,53,54
46,37,38,39,45,47,53,54,55
47,38,39,40,46,48,54,55,56
48,39,40,47,55,56,,,
49,41,42,50,57,,,,
50,41,42,43,49,51,57,58,59
51,42,43,44,50,52,58,59,60
52,43,44,45,51,53,59,60,61
53,44,45,46,52,54,60,61,62
54,45,46,47,53,55,61,62,63
55,46,47,48,54,56,62,63,64
56,47,48,55,64,,,,
57,49,50,58,,,,,
58,50,51,57,59,,,,
59,50,51,52,58,60,,,
60,51,52,53,59,61,,,
61,52,53,54,60,62,,,
62,53,54,55,61,63,,,
63,54,55,62,64,,,,
64,55,56,63,,,,,
